Calculation1,City,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values,Zipcode
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,enr,ALAMEDA COMMUNITY LEARNING CTR,White,4,94501
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,adm,ALAMEDA COMMUNITY LEARNING CTR,White,4,94501
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,app,ALAMEDA COMMUNITY LEARNING CTR,White,7,94501
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,enr,ALAMEDA COMMUNITY LEARNING CTR,Asian,,94501
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,adm,ALAMEDA COMMUNITY LEARNING CTR,Asian,,94501
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,app,ALAMEDA COMMUNITY LEARNING CTR,Asian,5,94501
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,enr,ALAMEDA COMMUNITY LEARNING CTR,All,5,94501
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,adm,ALAMEDA COMMUNITY LEARNING CTR,All,7,94501
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,app,ALAMEDA COMMUNITY LEARNING CTR,All,19,94501
ALAMEDA HIGH SCHOOL50005,Alameda,enr,ALAMEDA HIGH SCHOOL,White,3,94501
ALAMEDA HIGH SCHOOL50005,Alameda,adm,ALAMEDA HIGH SCHOOL,White,9,94501
ALAMEDA HIGH SCHOOL50005,Alameda,app,ALAMEDA HIGH SCHOOL,White,28,94501
ALAMEDA HIGH SCHOOL50005,Alameda,enr,ALAMEDA HIGH SCHOOL,Asian,8,94501
ALAMEDA HIGH SCHOOL50005,Alameda,adm,ALAMEDA HIGH SCHOOL,Asian,15,94501
ALAMEDA HIGH SCHOOL50005,Alameda,app,ALAMEDA HIGH SCHOOL,Asian,77,94501
ALAMEDA HIGH SCHOOL50005,Alameda,enr,ALAMEDA HIGH SCHOOL,Hispanic/ Latino,,94501
ALAMEDA HIGH SCHOOL50005,Alameda,adm,ALAMEDA HIGH SCHOOL,Hispanic/ Latino,,94501
