Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,enr,ALAMEDA COMMUNITY LEARNING CTR,Asian,
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,adm,ALAMEDA COMMUNITY LEARNING CTR,Asian,3
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,app,ALAMEDA COMMUNITY LEARNING CTR,Asian,5
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,enr,ALAMEDA COMMUNITY LEARNING CTR,All,
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,adm,ALAMEDA COMMUNITY LEARNING CTR,All,5
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,app,ALAMEDA COMMUNITY LEARNING CTR,All,11
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,White,4
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,White,17
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,White,34
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,Asian,14
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,Asian,37
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,Asian,97
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,Hispanic/ Latino,
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,Hispanic/ Latino,4
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,Hispanic/ Latino,11
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,African American,
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,African American,
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,African American,9
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,All,18
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,All,62
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,All,157
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,enr,ALAMEDA SCIENCE & TECHLGY INST,Asian,5
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,adm,ALAMEDA SCIENCE & TECHLGY INST,Asian,10
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,app,ALAMEDA SCIENCE & TECHLGY INST,Asian,24
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,enr,ALAMEDA SCIENCE & TECHLGY INST,Hispanic/ Latino,
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,adm,ALAMEDA SCIENCE & TECHLGY INST,Hispanic/ Latino,
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,app,ALAMEDA SCIENCE & TECHLGY INST,Hispanic/ Latino,5
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,enr,ALAMEDA SCIENCE & TECHLGY INST,All,6
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,adm,ALAMEDA SCIENCE & TECHLGY INST,All,13
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,app,ALAMEDA SCIENCE & TECHLGY INST,All,35
ALBANY HIGH SCHOOL50035,Albany,Alameda,enr,ALBANY HIGH SCHOOL,White,
ALBANY HIGH SCHOOL50035,Albany,Alameda,adm,ALBANY HIGH SCHOOL,White,17
ALBANY HIGH SCHOOL50035,Albany,Alameda,app,ALBANY HIGH SCHOOL,White,32
ALBANY HIGH SCHOOL50035,Albany,Alameda,enr,ALBANY HIGH SCHOOL,Asian,6
ALBANY HIGH SCHOOL50035,Albany,Alameda,adm,ALBANY HIGH SCHOOL,Asian,26
ALBANY HIGH SCHOOL50035,Albany,Alameda,app,ALBANY HIGH SCHOOL,Asian,50
ALBANY HIGH SCHOOL50035,Albany,Alameda,enr,ALBANY HIGH SCHOOL,Hispanic/ Latino,
ALBANY HIGH SCHOOL50035,Albany,Alameda,adm,ALBANY HIGH SCHOOL,Hispanic/ Latino,3
ALBANY HIGH SCHOOL50035,Albany,Alameda,app,ALBANY HIGH SCHOOL,Hispanic/ Latino,12
ALBANY HIGH SCHOOL50035,Albany,Alameda,enr,ALBANY HIGH SCHOOL,African American,
ALBANY HIGH SCHOOL50035,Albany,Alameda,adm,ALBANY HIGH SCHOOL,African American,
ALBANY HIGH SCHOOL50035,Albany,Alameda,app,ALBANY HIGH SCHOOL,African American,5
ALBANY HIGH SCHOOL50035,Albany,Alameda,enr,ALBANY HIGH SCHOOL,All,11
ALBANY HIGH SCHOOL50035,Albany,Alameda,adm,ALBANY HIGH SCHOOL,All,50
ALBANY HIGH SCHOOL50035,Albany,Alameda,app,ALBANY HIGH SCHOOL,All,103
ALTERNATIVES IN ACTION HS50013,Oakland,Alameda,enr,ALTERNATIVES IN ACTION HS,All,
ALTERNATIVES IN ACTION HS50013,Oakland,Alameda,adm,ALTERNATIVES IN ACTION HS,All,
ALTERNATIVES IN ACTION HS50013,Oakland,Alameda,app,ALTERNATIVES IN ACTION HS,All,5
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,Inter- national,
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,Inter- national,3
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,Inter- national,5
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,White,
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,White,14
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,White,56
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,Asian,6
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,Asian,49
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,Asian,134
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,3
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,14
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,All,12
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,All,76
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,All,226
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,Domestic Unknown,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,Domestic Unknown,3
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,Domestic Unknown,11
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,White,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,White,5
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,White,16
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,Asian,7
