Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,enr,A B MILLER HIGH SCHOOL,Domestic Unknown,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,adm,A B MILLER HIGH SCHOOL,Domestic Unknown,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,app,A B MILLER HIGH SCHOOL,Domestic Unknown,9
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,enr,A B MILLER HIGH SCHOOL,Hispanic/ Latino,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,adm,A B MILLER HIGH SCHOOL,Hispanic/ Latino,3
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,app,A B MILLER HIGH SCHOOL,Hispanic/ Latino,27
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,enr,A B MILLER HIGH SCHOOL,All,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,adm,A B MILLER HIGH SCHOOL,All,4
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,app,A B MILLER HIGH SCHOOL,All,39
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,enr,ABRAHAM LINCOLN HIGH SCHOOL,Asian,3
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,adm,ABRAHAM LINCOLN HIGH SCHOOL,Asian,3
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,app,ABRAHAM LINCOLN HIGH SCHOOL,Asian,26
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,enr,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,3
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,adm,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,3
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,app,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,10
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,enr,ABRAHAM LINCOLN HIGH SCHOOL,All,7
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,adm,ABRAHAM LINCOLN HIGH SCHOOL,All,7
ABRAHAM LINCOLN HIGH SCHOOL51520,Los Angeles,Los Angeles,app,ABRAHAM LINCOLN HIGH SCHOOL,All,39
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,enr,ABRAHAM LINCOLN HIGH SCHOOL,White,
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,adm,ABRAHAM LINCOLN HIGH SCHOOL,White,
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,app,ABRAHAM LINCOLN HIGH SCHOOL,White,9
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,enr,ABRAHAM LINCOLN HIGH SCHOOL,Asian,6
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,adm,ABRAHAM LINCOLN HIGH SCHOOL,Asian,9
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,app,ABRAHAM LINCOLN HIGH SCHOOL,Asian,101
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,enr,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,adm,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,app,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,7
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,enr,ABRAHAM LINCOLN HIGH SCHOOL,All,7
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,adm,ABRAHAM LINCOLN HIGH SCHOOL,All,11
ABRAHAM LINCOLN HIGH SCHOOL52910,San Francisco,San Francisco,app,ABRAHAM LINCOLN HIGH SCHOOL,All,125
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,enr,ABRAHAM LINCOLN HIGH SCHOOL,White,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,adm,ABRAHAM LINCOLN HIGH SCHOOL,White,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,app,ABRAHAM LINCOLN HIGH SCHOOL,White,7
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,enr,ABRAHAM LINCOLN HIGH SCHOOL,Asian,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,adm,ABRAHAM LINCOLN HIGH SCHOOL,Asian,5
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,app,ABRAHAM LINCOLN HIGH SCHOOL,Asian,10
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,enr,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,adm,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,app,ABRAHAM LINCOLN HIGH SCHOOL,Hispanic/ Latino,29
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,enr,ABRAHAM LINCOLN HIGH SCHOOL,All,5
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,adm,ABRAHAM LINCOLN HIGH SCHOOL,All,10
ABRAHAM LINCOLN HIGH SCHOOL53075,San Jose,Santa Clara,app,ABRAHAM LINCOLN HIGH SCHOOL,All,53
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,enr,ACAD FOR ACADEMIC EXCELLENCE,All,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,adm,ACAD FOR ACADEMIC EXCELLENCE,All,
ACAD FOR ACADEMIC EXCELLENCE50126,Apple Valley,San Bernardino,app,ACAD FOR ACADEMIC EXCELLENCE,All,14
