Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,enr,ALAMEDA COMMUNITY LEARNING CTR,All,
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,adm,ALAMEDA COMMUNITY LEARNING CTR,All,5
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,app,ALAMEDA COMMUNITY LEARNING CTR,All,5
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,White,
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,White,9
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,White,9
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,Asian,3
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,Asian,27
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,Asian,33
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,All,6
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,All,41
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,All,48
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,enr,ALAMEDA SCIENCE & TECHLGY INST,All,
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,adm,ALAMEDA SCIENCE & TECHLGY INST,All,7
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,app,ALAMEDA SCIENCE & TECHLGY INST,All,9
ALBANY HIGH SCHOOL50035,Albany,Alameda,enr,ALBANY HIGH SCHOOL,Asian,
ALBANY HIGH SCHOOL50035,Albany,Alameda,adm,ALBANY HIGH SCHOOL,Asian,9
ALBANY HIGH SCHOOL50035,Albany,Alameda,app,ALBANY HIGH SCHOOL,Asian,10
ALBANY HIGH SCHOOL50035,Albany,Alameda,enr,ALBANY HIGH SCHOOL,All,
ALBANY HIGH SCHOOL50035,Albany,Alameda,adm,ALBANY HIGH SCHOOL,All,12
ALBANY HIGH SCHOOL50035,Albany,Alameda,app,ALBANY HIGH SCHOOL,All,15
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,White,3
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,White,8
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,White,9
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,Asian,
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,Asian,26
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,Asian,32
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,6
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,7
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,All,6
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,All,45
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,All,55
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,Asian,3
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,Asian,34
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,Asian,40
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,All,5
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,All,41
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,All,49
ARISE HIGH SCHOOL54258,Oakland,Alameda,enr,ARISE HIGH SCHOOL,Hispanic/ Latino,
