Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,enr,ALAMEDA COMMUNITY LEARNING CTR,Asian,
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,adm,ALAMEDA COMMUNITY LEARNING CTR,Asian,
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,app,ALAMEDA COMMUNITY LEARNING CTR,Asian,6
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,enr,ALAMEDA COMMUNITY LEARNING CTR,All,
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,adm,ALAMEDA COMMUNITY LEARNING CTR,All,9
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,app,ALAMEDA COMMUNITY LEARNING CTR,All,18
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,White,8
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,White,22
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,White,32
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,Asian,9
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,Asian,43
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,Asian,80
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,Hispanic/ Latino,
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,Hispanic/ Latino,4
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,Hispanic/ Latino,9
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,African American,
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,African American,
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,African American,6
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,All,18
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,All,74
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,All,133
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,enr,ALAMEDA SCIENCE & TECHLGY INST,Asian,
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,adm,ALAMEDA SCIENCE & TECHLGY INST,Asian,9
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,app,ALAMEDA SCIENCE & TECHLGY INST,Asian,17
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,enr,ALAMEDA SCIENCE & TECHLGY INST,All,
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,adm,ALAMEDA SCIENCE & TECHLGY INST,All,13
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Alameda,app,ALAMEDA SCIENCE & TECHLGY INST,All,27
ALBANY HIGH SCHOOL50035,Albany,Alameda,enr,ALBANY HIGH SCHOOL,White,
ALBANY HIGH SCHOOL50035,Albany,Alameda,adm,ALBANY HIGH SCHOOL,White,26
ALBANY HIGH SCHOOL50035,Albany,Alameda,app,ALBANY HIGH SCHOOL,White,37
ALBANY HIGH SCHOOL50035,Albany,Alameda,enr,ALBANY HIGH SCHOOL,Asian,4
ALBANY HIGH SCHOOL50035,Albany,Alameda,adm,ALBANY HIGH SCHOOL,Asian,31
ALBANY HIGH SCHOOL50035,Albany,Alameda,app,ALBANY HIGH SCHOOL,Asian,44
ALBANY HIGH SCHOOL50035,Albany,Alameda,enr,ALBANY HIGH SCHOOL,Hispanic/ Latino,
ALBANY HIGH SCHOOL50035,Albany,Alameda,adm,ALBANY HIGH SCHOOL,Hispanic/ Latino,7
ALBANY HIGH SCHOOL50035,Albany,Alameda,app,ALBANY HIGH SCHOOL,Hispanic/ Latino,17
ALBANY HIGH SCHOOL50035,Albany,Alameda,enr,ALBANY HIGH SCHOOL,All,9
ALBANY HIGH SCHOOL50035,Albany,Alameda,adm,ALBANY HIGH SCHOOL,All,69
ALBANY HIGH SCHOOL50035,Albany,Alameda,app,ALBANY HIGH SCHOOL,All,106
ALTERNATIVES IN ACTION HS50013,Oakland,Alameda,enr,ALTERNATIVES IN ACTION HS,Hispanic/ Latino,
ALTERNATIVES IN ACTION HS50013,Oakland,Alameda,adm,ALTERNATIVES IN ACTION HS,Hispanic/ Latino,
ALTERNATIVES IN ACTION HS50013,Oakland,Alameda,app,ALTERNATIVES IN ACTION HS,Hispanic/ Latino,6
ALTERNATIVES IN ACTION HS50013,Oakland,Alameda,enr,ALTERNATIVES IN ACTION HS,All,
ALTERNATIVES IN ACTION HS50013,Oakland,Alameda,adm,ALTERNATIVES IN ACTION HS,All,
ALTERNATIVES IN ACTION HS50013,Oakland,Alameda,app,ALTERNATIVES IN ACTION HS,All,7
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,Domestic Unknown,
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,Domestic Unknown,10
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,Domestic Unknown,13
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,White,
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,White,18
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,White,40
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,Asian,11
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,Asian,64
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,Asian,94
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,5
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,16
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,All,17
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,All,100
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,All,167
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,Inter- national,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,Inter- national,5
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,Inter- national,5
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,Domestic Unknown,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,Domestic Unknown,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,Domestic Unknown,6
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,White,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,White,3
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,White,10
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,Asian,15
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,Asian,76
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,Asian,118
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,Hispanic/ Latino,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,Hispanic/ Latino,
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,Hispanic/ Latino,7
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,enr,AMERICAN HIGH SCHOOL,All,19
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,adm,AMERICAN HIGH SCHOOL,All,88
AMERICAN HIGH SCHOOL50974,Fremont,Alameda,app,AMERICAN HIGH SCHOOL,All,146
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,Alameda,enr,AMERICAN INDIAN PUBLIC SCHOOL,All,
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,Alameda,adm,AMERICAN INDIAN PUBLIC SCHOOL,All,3
AMERICAN INDIAN PUBLIC SCHOOL54176,Oakland,Alameda,app,AMERICAN INDIAN PUBLIC SCHOOL,All,9
ARISE HIGH SCHOOL54258,Oakland,Alameda,enr,ARISE HIGH SCHOOL,Hispanic/ Latino,
ARISE HIGH SCHOOL54258,Oakland,Alameda,adm,ARISE HIGH SCHOOL,Hispanic/ Latino,
ARISE HIGH SCHOOL54258,Oakland,Alameda,app,ARISE HIGH SCHOOL,Hispanic/ Latino,23
ARISE HIGH SCHOOL54258,Oakland,Alameda,enr,ARISE HIGH SCHOOL,All,
ARISE HIGH SCHOOL54258,Oakland,Alameda,adm,ARISE HIGH SCHOOL,All,
ARISE HIGH SCHOOL54258,Oakland,Alameda,app,ARISE HIGH SCHOOL,All,27
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,enr,ARROYO HIGH SCHOOL,Asian,
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,adm,ARROYO HIGH SCHOOL,Asian,7
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,app,ARROYO HIGH SCHOOL,Asian,35
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,enr,ARROYO HIGH SCHOOL,Hispanic/ Latino,
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,adm,ARROYO HIGH SCHOOL,Hispanic/ Latino,
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,app,ARROYO HIGH SCHOOL,Hispanic/ Latino,9
ARROYO HIGH SCHOOL53125,San Lorenzo,Alameda,enr,ARROYO HIGH SCHOOL,All,3
