RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
97711,94501,Alameda,CA,San Francisco,Alameda,54,222264,221343,220937,220797,221162,222674,224110,225545,227937,231203,234263,235771,236674,239306,243528,247361,249858,250596,250844,252412,255490,258920,262121,264633,266710,268391,269745,271071,272818,274741,276407,277742,279581,281591,283342,284574,286452,290174,294977,301034,308891,319132,329635,339887,350531,362340,372503,382818,397237,410085,416925,420493,423379,425931,430359,434071,434506,432330,432246,434453,433867,431469,432246,434494,435490,435022,433794,433002,432937,433987,436039,439637,444931,450947,457147,464121,470866,476990,483204,488732,492293,495103,498363,502103,504833,507320,510477,513414,515469,518947,525380,533614,543786,553931,563225,572643,584736,598840,613985,627967,641312,653992,665177,675060,684772,694481,704437,713299,719995,724002,722709,719463,718869,720317,719691,717238,712665,709568,708832,706352,699513,693813,690964,689654,687895,684813,680886,677942,676500,676607,677122,677918,675938,669992,665023,661312,654988,646737,638685,631857,631242,630694,620745,607434,600946,596813,591298,586711,582870,580194,578436,577503,577217,577847,576877,574030,569497,564773,561779,562044,565952,572109,578903,583813,583855,582154,583285,585012,585121,587672,590272,589242,585734,579635,575111,573224,569332,560881,555156,550528,545151,538942,535587,534339,534795,532192,526283,520744,518207,517208,518489,522579,528135,534533,539762,546456,555625,568043,582047,595036,605104,614568,624910,637488,657114,678291,696337,706629,711588,715117,718370,718381,718429,721115,724867,731102,734897,734702,732708,732161,731574,733860,739007,745997,753691,764357,778778,793500,805970,818737,831468,840987,848758,855260,857420,860492,867595,874984,879710,885174,888865,889647,888724,890858,893000,896234,902028,909664,918040,927745,932865,935651,941027,949498,958895,967561,976133,987462,998525,1008112,1018869,1033558,1045474,1052223
97712,94502,Alameda,CA,San Francisco,Alameda,7232,222790,222788,223481,223423,222771,221713,220316,219921,221392,223857,225356,224670,223344,222866,223017,223616,226416,230658,234493,238138,243297,248577,252347,254768,257171,259137,260692,262723,265273,267635,269451,271110,272988,274935,276789,278946,281118,283693,286985,291133,296218,303182,311388,320109,329229,338293,346290,356715,371255,384318,394004,402466,408228,410869,412596,413774,414030,413276,413985,416822,419753,421895,423710,424865,425832,425167,423194,420749,418833,418250,418579,418974,420198,423950,429743,436747,443182,450448,458539,465558,469692,472857,477377,482027,484155,483363,482528,482649,484532,487520,492740,501231,512013,522916,533092,541473,549089,560172,573854,585483,594411,604424,614750,622165,626561,631478,638418,646956,654301,658268,659150,659500,660615,663363,664496,664563,663905,663555,663238,662010,660424,660446,660111,660072,660169,657331,653619,651420,651998,653566,653643,652859,651109,643621,636417,629723,620151,607038,595138,584705,578850,573711,561938,548079,541341,538936,536951,536525,534223,529699,526459,524865,523368,521914,519694,516161,511366,505842,501315,499933,505218,517032,533430,546207,549864,548746,551807,554040,551140,551310,552832,549286,544690,543596,538172,530844,526184,522787,519211,514680,508198,502309,497321,493111,491105,485438,475632,469958,470079,471051,473114,477820,484381,488166,489671,494577,503047,513530,525807,537152,544841,550625,556021,565768,582550,600304,613828,619407,618728,616876,616467,616120,617333,622051,628520,636954,641679,644668,652892,665778,666842,659213,655162,656230,657107,661522,672266,685328,698359,711350,723284,731722,741864,753619,762479,771170,780796,787627,790222,790152,788532,788444,785336,782158,786657,796538,804674,812060,821341,829262,834154,839909,848677,856619,865740,875514,883413,891294,902456,907963,910616,919831,927990,928737
97840,94706,Albany,CA,San Francisco,Alameda,5096,234691,234353,233005,231760,231772,232168,231402,230757,231601,233780,236110,237240,237382,238311,241413,245224,248390,250972,254263,257201,260569,264457,267984,269766,270296,269393,266738,264291,264391,266130,267131,267743,269090,271225,272748,274012,276474,283033,292893,303398,311400,320331,331049,341866,351768,362062,371516,382595,397817,412207,421749,428074,432865,435532,437805,440757,443024,442506,441489,441358,441032,439093,437031,436048,436999,438502,439305,438507,435905,433537,432369,431969,432471,435999,442335,449414,455981,462120,466552,470777,478077,488582,499836,509374,515684,520015,524667,530255,534585,537669,543599,553593,564219,573493,583343,593043,601399,610597,622970,633192,641011,648298,654937,661730,669653,676911,684949,695336,706272,714262,718293,721566,724623,728942,734677,736584,732100,727701,724727,721329,715627,708383,699720,690471,683255,678563,674499,670632,670301,669459,665743,663410,662547,658905,655255,654388,652203,647186,641279,635752,633135,630730,621029,607342,600781,598310,592870,587962,587048,589051,591164,593680,596681,601036,604288,605499,604470,603011,602843,605209,609738,616030,624071,631688,632807,630427,632011,635116,634185,632843,630876,626432,621172,614750,609030,603713,597086,590129,588497,585957,580811,575937,577460,580446,583163,580997,575653,572291,573055,573292,572459,573916,579437,587941,594330,599880,608696,622813,636526,647633,661422,677900,693187,710233,730706,750091,766880,778083,779810,774097,768098,762609,756099,751925,753088,757838,761750,764714,769177,776735,783883,790108,795977,801095,803823,808423,818654,832609,843468,853306,866689,881787,894287,904354,910982,919746,932211,939556,938034,939111,943824,941908,929941,919069,912583,914911,924988,937356,948994,963301,973492,978248,984236,995570,1008084,1016450,1022547,1031341,1041548,1051520,1064707,1083719,1100454,1110884
97838,94704,Berkeley,CA,San Francisco,Alameda,4488,264497,266787,268673,270440,273900,277184,279064,279972,282612,286754,290027,291528,293648,295485,296559,299498,304205,308926,313376,318168,322190,324762,327156,330687,332725,334990,340357,346450,348990,350288,351109,349942,349173,352061,358909,363860,367429,370519,372555,378133,391764,410341,429088,446329,462487,481133,497512,513825,534503,552483,563557,569708,572004,570364,568960,572468,576942,575896,575082,579587,584986,587164,586895,586432,587806,588014,588925,588925,590046,591839,591372,587889,588275,596311,611595,629572,644295,655183,665087,679593,693736,701663,704901,707168,705154,700675,694923,686395,674798,669868,673214,676857,679244,682455,686573,693981,705849,723580,745025,763448,778711,794227,807830,819714,829296,840862,861095,882768,893070,891640,889397,886609,884892,881516,875361,864607,855040,850705,850396,848373,842313,838144,835246,834749,836088,839369,839015,838857,841520,844123,843716,842872,838937,830844,822667,816765,809987,800514,791268,786333,788516,789879,779131,764348,765267,773531,777514,778626,779400,778268,778614,781134,784498,788651,791113,789646,782930,776285,772427,774258,780130,788915,799427,801604,789874,776255,767440,762650,763356,768094,769855,765771,758137,747644,737118,729991,727733,724217,722134,722747,719116,707222,698685,698915,703402,703592,700250,700951,704939,708838,715505,721435,724449,729999,735955,739309,746176,762847,782066,794604,802270,808998,814512,824831,847296,873737,888177,890379,890391,893200,894224,893635,897531,907561,920052,934413,943788,944469,946367,955632,963185,968720,979703,992708,994955,994964,1013053,1044550,1065645,1081903,1111215,1143205,1169711,1194510,1215030,1235111,1255851,1271991,1283184,1293510,1304566,1316488,1322038,1327575,1339296,1353569,1363606,1376529,1398870,1422465,1431071,1428704,1433645,1444786,1462053,1473500,1471120,1459876,1460150,1475539,1510462,1562387,1591598,1595995
97837,94703,Berkeley,CA,San Francisco,Alameda,4763,190901,188525,186950,186894,188163,188983,188618,188794,190192,192824,194888,196630,200127,205332,209971,214346,218332,222133,226310,230142,232899,235326,238067,240237,241387,243059,245712,248173,250613,253929,257126,260318,264548,269335,273713,276511,278360,282509,287403,290467,294228,300252,305877,311414,318100,324915,331958,342298,357420,369582,378559,386054,390410,393552,399926,406695,412021,415045,417672,422072,424036,422744,421926,423008,425537,426646,426595,426269,424914,424646,425810,426891,428215,432302,437129,441549,446302,452958,459802,465733,470447,474109,477602,479519,480081,480421,483230,489114,494197,497036,501276,506870,512681,519323,526983,536834,549194,562001,573101,583075,593968,605708,616580,628458,643013,657429,669071,678413,686576,692255,694023,693494,692900,694020,694250,690940,683072,676672,674872,674484,670733,668094,666796,663993,658736,653159,647349,643547,642966,643835,643620,643069,640979,635628,631092,627710,622318,614275,606053,598529,595441,593193,583779,570888,563172,558122,554407,554557,555746,557059,558935,561220,564207,568289,570699,571405,570152,568569,567434,568784,575102,584109,592862,599904,602969,602734,603665,603617,604775,610148,615995,616600,613698,605644,599102,596322,592620,583903,578951,576958,574807,570023,562069,551535,544656,541113,536975,532961,531677,534029,538875,544277,548485,552741,557804,566022,575693,587181,599097,608703,613784,618213,627052,639648,653917,671911,695640,715527,728640,740065,749735,752787,753179,755309,757261,760576,763877,763802,760135,760110,761825,762125,763606,771081,781360,791559,802046,816335,830726,839841,846411,854379,863035,871498,876987,882477,891094,899563,904909,909823,917312,926690,931914,937456,944621,954575,962890,971376,983585,1000928,1012374,1023377,1035791,1047006,1060700,1071847,1073885,1076236,1087952,1104827,1123226,1144646,1162746,1173535
97836,94702,Berkeley,CA,San Francisco,Alameda,5292,165899,165696,165225,164274,162542,161281,161958,164259,167560,171025,173448,174625,175583,176171,176841,178681,181885,184877,187474,190094,192527,194896,197402,199614,201345,203816,207650,211820,215364,218561,221243,223157,225356,227711,230151,232977,236376,240053,243937,247538,250610,254873,260936,268874,278640,289489,298189,305625,316938,330110,340559,348765,356444,362832,367654,370781,371383,368902,367474,369965,371274,369193,365739,363431,364684,367895,369406,370392,371665,373186,374673,376169,377433,379497,384205,390491,394390,395619,397654,399808,401342,403663,407789,412029,415270,418191,422169,426944,431800,438099,447010,456988,466467,475030,483888,493226,503748,514548,524774,533501,544012,554729,562333,568429,576221,584261,592134,600993,610746,621039,628998,632051,630690,630520,631747,629634,622782,618794,619620,620185,616635,613368,611003,610680,611149,609183,604237,601249,602463,605302,605515,602686,597593,590733,586790,584859,579939,572125,565044,558621,555451,553119,545586,534690,528065,521931,513995,509758,510069,511166,512232,512793,512797,514288,515742,515285,513356,511450,508840,503866,500440,503321,510130,519137,527315,529699,529637,531572,533507,535987,537133,534114,529941,525718,521794,516927,510388,502792,496935,492437,488085,482334,479601,480714,481316,475775,468413,464715,464573,465218,467538,471421,475612,481799,488772,498795,510715,524607,537694,549578,558148,565698,575489,587192,600614,617843,636811,646368,649105,653240,658129,657559,656283,658745,663025,667773,669758,667623,666836,672863,678582,681318,685472,693104,699871,706895,717756,732349,750079,767868,780902,791644,805721,820109,828810,836179,845904,855156,858095,862539,873257,881037,875439,867747,864522,864120,864377,866429,870396,879011,889266,895961,899221,905322,920303,934834,945432,956875,970900,982049,992793,1008012,1023324,1033076
97839,94705,Berkeley,CA,San Francisco,Alameda,6391,415697,417498,413885,409820,409054,409590,411622,413424,414961,418555,422242,424608,426939,431586,438084,445339,450634,452901,454861,459798,467045,474104,478623,480744,484217,488403,491466,497415,507694,516912,520016,521297,525661,528582,525285,519374,519232,527559,539093,549158,558799,568948,580466,593335,607308,623014,639503,658285,680065,698489,711767,721414,735881,760601,788096,804696,815062,825645,838492,849461,851740,845849,840677,837876,834478,830886,829948,831896,833359,834693,839030,846446,857105,871741,886149,898866,908315,913660,918437,924940,930531,936617,942559,945672,945308,943551,941404,940949,938063,933748,936091,947056,959757,971567,986562,1003070,1019454,1040659,1067380,1090146,1111559,1137860,1162900,1184332,1204407,1221342,1236125,1255110,1268447,1273077,1278990,1290648,1302492,1311675,1307535,1292599,1278608,1273694,1274084,1271772,1263535,1259318,1257487,1253247,1242024,1229260,1222890,1224136,1231690,1239545,1240069,1237051,1237029,1229145,1219592,1214510,1208603,1194400,1179089,1163111,1152703,1142282,1120304,1094147,1081051,1073871,1065420,1059255,1053567,1048545,1044275,1041715,1041178,1043641,1042859,1037552,1028414,1017595,1006971,1000165,1003596,1014778,1028319,1042343,1048851,1047258,1050391,1058047,1064507,1075897,1085922,1084991,1078799,1071785,1068688,1066831,1060547,1049966,1047168,1046239,1039554,1033319,1037571,1043873,1050701,1055225,1058576,1060585,1063010,1064883,1069367,1076118,1087476,1096918,1099504,1107265,1125425,1145897,1158268,1165411,1176290,1191578,1207653,1228250,1257977,1297189,1337389,1367330,1382506,1390891,1396751,1399506,1397978,1400381,1407106,1419699,1432548,1440894,1442313,1443006,1440426,1443499,1453098,1464599,1475174,1493052,1519740,1552732,1578942,1594301,1600029,1607777,1620736,1634397,1641277,1659599,1684183,1700371,1708119,1719458,1729448,1731065,1727362,1730579,1739567,1746637,1751746,1755277,1762929,1778559,1787738,1786765,1791005,1797861,1811457,1824180,1826830,1829470,1846648,1871286,1903350,1940561,1960636,1966798
97843,94709,Berkeley,CA,San Francisco,Alameda,6801,263328,266163,268378,269561,271418,273559,276030,279059,282429,285847,288457,289806,291608,294036,296762,301550,308444,315957,322451,328259,334180,340620,345591,347765,348715,350771,354903,355027,351649,351268,354323,356381,361112,367494,372044,376390,381674,387022,394165,402890,412734,426246,441168,455544,471588,489951,506027,522136,541807,560502,573398,587124,597229,598837,598795,600869,597907,591622,592768,600266,605590,605477,604701,604483,607372,609688,611943,616542,622007,624901,626823,628866,632552,640170,650705,660257,667031,672160,677437,682966,687311,690676,694192,698173,700035,695349,686446,682708,685269,689620,695315,701424,706136,710274,714943,719175,725108,736941,752942,765450,774028,783076,791558,799751,811610,825266,837912,851949,865903,874761,878358,880238,882172,885678,888175,885711,879469,875545,875245,872733,864574,858442,856743,858508,861156,861287,855537,850014,850325,854371,855873,854336,851842,846589,840795,832122,822027,816710,812533,807616,806706,806828,795807,781483,777818,784891,796576,807543,810491,807284,806418,806899,808348,811174,811918,809582,805004,799965,794029,792519,799456,811399,824072,837117,843746,845157,849824,857771,862384,861436,852300,835197,816177,798306,787141,778920,768517,755239,748295,743029,733919,723507,721883,726507,729379,720907,707014,697559,695562,693586,693237,694607,698825,705415,710344,717307,731713,759162,791408,818304,834058,846952,855390,864273,879199,897882,914136,922636,924898,926238,929126,930301,930158,932784,941993,952872,961034,962077,965438,984041,1013772,1033773,1042586,1048991,1056130,1063320,1081057,1109318,1137487,1164269,1185066,1187410,1187195,1198024,1205492,1214814,1236506,1263141,1279032,1286751,1287386,1287438,1283504,1287509,1295657,1303665,1310963,1322863,1341090,1363230,1379684,1402072,1434991,1465710,1493966,1510030,1502758,1491152,1490265,1491655,1494522,1509569,1529441,1542797
97841,94707,Berkeley,CA,San Francisco,Alameda,7104,307554,305667,305113,306121,307175,308327,310001,311247,313716,317408,320096,321811,323729,327422,333201,338788,343595,347940,351554,355672,360537,365300,370181,374220,378144,383817,390502,396894,402833,408343,413666,418101,421323,424513,426973,428388,429984,432925,435455,439595,446840,457934,471332,485052,499640,517403,535633,555212,578378,599325,614788,626952,636284,643300,649436,654496,655409,651565,648535,647704,645672,644486,645390,644672,642246,639657,638238,638728,640829,643349,647915,655603,663316,668587,674159,681548,687761,691547,695564,700304,704444,708047,711928,715291,717556,718085,717161,718103,724026,734464,744355,751436,758063,767650,780404,794373,808780,826991,849913,869368,881168,891308,902695,913247,923430,935512,948626,960810,971301,979336,982194,982319,983830,984561,980956,975292,969002,965905,966619,964599,956923,948564,935126,920459,911646,906690,904467,911105,923760,927633,918114,907161,900818,893759,888914,886489,882588,877134,870646,861619,855341,848931,835668,820146,810119,802438,803549,811352,813385,810420,809185,807012,805149,806093,805869,803425,799148,795037,792727,794153,799572,808346,820374,833801,841705,846501,853323,859544,863170,867442,863934,851626,839911,824627,806414,791782,781524,770705,767708,768915,770417,768752,768991,771565,774761,773316,769987,766506,763244,762794,764034,764034,764001,768481,775481,786008,802622,827654,852977,873281,885886,897667,911060,927747,942676,956885,968927,975274,975438,975050,974179,967558,960661,955332,953531,956805,970859,984342,990316,992770,997212,1003808,1014927,1029835,1045042,1061206,1083528,1110344,1129340,1140879,1149906,1158636,1172426,1188513,1195929,1204192,1216436,1227114,1228763,1229378,1231299,1239062,1247368,1258252,1263934,1270845,1279042,1292095,1315490,1343783,1359982,1371676,1388606,1402935,1418769,1431562,1432934,1431589,1438653,1448384,1456445,1469176,1484480,1496590
97842,94708,Berkeley,CA,San Francisco,Alameda,7532,318684,318263,318545,320862,324333,326734,327725,328874,331225,333555,334940,337432,340865,343274,345866,349918,353660,356913,361404,366678,371644,376498,381703,385026,386580,389161,394787,400219,403957,407687,412589,416662,420771,425331,428462,429257,430689,435046,439445,443731,450273,462076,476579,491298,506575,523464,536903,549588,568680,589309,605351,618880,629916,634389,634348,633743,633753,631935,632474,638433,644520,646551,646923,643596,637081,631276,629296,630380,630655,630197,633679,640106,645878,651944,658354,664927,672098,677924,684140,692884,702433,710313,716668,718455,717703,717586,719046,722367,731125,745463,756550,760627,764754,774133,785983,798733,809909,821699,835781,848921,857821,866190,874655,883105,890440,898496,909987,925833,940228,947749,949727,951828,954971,955579,953060,948400,943530,943065,942899,938078,926747,914887,903151,895302,890623,888800,891155,900311,913562,919086,912888,904332,900012,894280,890897,889355,885488,879357,871686,859871,849172,839890,824652,807043,799946,805365,816830,825437,824583,820372,817817,815579,813713,814341,814352,811924,806100,799059,793271,792656,797817,805552,815395,826889,833289,836452,844571,854769,861472,864289,858707,845266,834429,823802,813385,803761,793995,780611,771680,763900,755241,745005,737787,732474,728716,722226,713890,708967,709321,710931,714674,720698,727213,733296,742046,756384,773948,793020,812463,828982,840416,850600,860830,873225,888470,904430,917296,924373,929295,935503,941804,942641,939722,938345,940618,948994,963326,975033,977490,978250,982009,990736,999444,1012246,1029477,1048129,1063808,1080537,1089601,1098305,1111522,1126163,1137018,1145114,1143507,1140204,1140542,1142904,1140682,1145608,1163086,1185851,1202573,1219913,1231898,1240062,1248252,1258363,1272821,1295182,1310957,1316571,1322569,1324889,1324191,1320244,1313210,1309229,1316597,1326303,1336023,1352659,1374918,1392671
