Calculation1,School,Zipcode
ALAMEDA COMMUNITY LEARNING CTR50011,ALAMEDA COMMUNITY LEARNING CTR,94501
ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,94501
ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,94501
ENCINAL HIGH SCHOOL50015,ENCINAL HIGH SCHOOL,94501
NEA COMMUNITY LEARNING CENTER54529,NEA COMMUNITY LEARNING CENTER,94501
AMERICAN HIGH SCHOOL50974,AMERICAN HIGH SCHOOL,94536
WASHINGTON HIGH SCHOOL50972,WASHINGTON HIGH SCHOOL,94536
IRVINGTON HIGH SCHOOL50968,IRVINGTON HIGH SCHOOL,94538
JOHN F KENNEDY HIGH SCHOOL50966,JOHN F KENNEDY HIGH SCHOOL,94538
MISSION SAN JOSE HIGH SCHOOL50970,MISSION SAN JOSE HIGH SCHOOL,94539
HAYWARD HIGH SCHOOL51150,HAYWARD HIGH SCHOOL,94541
SILVER OAK HIGH SCHOOL54774,SILVER OAK HIGH SCHOOL,94544
IMPACT ACAD ARTS/TECHNOLOGY54255,IMPACT ACAD ARTS/TECHNOLOGY,94545
LEADERSHIP PUBLIC SCH HAYWARD51231,LEADERSHIP PUBLIC SCH HAYWARD,94545
MOUNT EDEN HIGH SCHOOL51153,MOUNT EDEN HIGH SCHOOL,94545
CASTRO VALLEY HIGH SCHOOL50500,CASTRO VALLEY HIGH SCHOOL,94546
GRANADA HIGH SCHOOL51423,GRANADA HIGH SCHOOL,94550
LIVERMORE HIGH SCHOOL51425,LIVERMORE HIGH SCHOOL,94550
LIVERMORE VALLEY CHARTER PREP51541,LIVERMORE VALLEY CHARTER PREP,94551
NEWARK MEMORIAL HIGH SCHOOL52114,NEWARK MEMORIAL HIGH SCHOOL,94560
AMADOR VALLEY HIGH SCHOOL52495,AMADOR VALLEY HIGH SCHOOL,94566
DUBLIN HIGH SCHOOL50784,DUBLIN HIGH SCHOOL,94568
SAN LEANDRO HIGH SCHOOL53120,SAN LEANDRO HIGH SCHOOL,94577
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,94580
KIPP KING COLLEGIATE HIGH SCH54231,KIPP KING COLLEGIATE HIGH SCH,94580
SAN LORENZO HIGH SCHOOL53130,SAN LORENZO HIGH SCHOOL,94580
JAMES LOGAN HIGH SCHOOL50969,JAMES LOGAN HIGH SCHOOL,94587
FOOTHILL HIGH SCHOOL52497,FOOTHILL HIGH SCHOOL,94588
ARISE HIGH SCHOOL54258,ARISE HIGH SCHOOL,94601
FREMONT HIGH SCHOOL52205,FREMONT HIGH SCHOOL,94601
LIFE ACADEMY HIGH SCHOOL52212,LIFE ACADEMY HIGH SCHOOL,94601
OAKLAND CHARTER HIGH SCHOOL54303,OAKLAND CHARTER HIGH SCHOOL,94601
ASPIRE LIONEL WILSON COLG PREP51761,ASPIRE LIONEL WILSON COLG PREP,94603
MADISON PARK ACADEMY HIGH SCHL54768,MADISON PARK ACADEMY HIGH SCHL,94603
CASTLEMONT HIGH SCHOOL54611,CASTLEMONT HIGH SCHOOL,94605
LPS OAKLAND R&D CAMPUS54704,LPS OAKLAND R&D CAMPUS,94605
OAKLAND UNITY HIGH SCHOOL52484,OAKLAND UNITY HIGH SCHOOL,94605
SOJOURNER TRUTH ACADEMY52224,SOJOURNER TRUTH ACADEMY,94605
METWEST HIGH SCHOOL53009,METWEST HIGH SCHOOL,94606
AMERICAN INDIAN PUBLIC SCHOOL54176,AMERICAN INDIAN PUBLIC SCHOOL,94607
MCCLYMONDS HIGH SCHOOL52220,MCCLYMONDS HIGH SCHOOL,94607
EMERY SECONDARY SCHOOL50860,EMERY SECONDARY SCHOOL,94608
OAKLAND MILITARY INST COL PREP53972,OAKLAND MILITARY INST COL PREP,94608
OAKLAND INTERNATIONAL HIGH SCH54232,OAKLAND INTERNATIONAL HIGH SCH,94609
OAKLAND HIGH SCHOOL52225,OAKLAND HIGH SCHOOL,94610
OAKLAND TECHNICAL HIGH SCHOOL52240,OAKLAND TECHNICAL HIGH SCHOOL,94611
PIEDMONT HIGH SCHOOL52462,PIEDMONT HIGH SCHOOL,94611
OAKLAND SCHOOL FOR THE ARTS52410,OAKLAND SCHOOL FOR THE ARTS,94612
SKYLINE HIGH SCHOOL52238,SKYLINE HIGH SCHOOL,94619
ALTERNATIVES IN ACTION HS50013,ALTERNATIVES IN ACTION HS,94621
ASPIRE GOLDEN STATE PREP ACADEMY54260,ASPIRE GOLDEN STATE PREP ACADEMY,94621
COLISEUM COLLEGE PREP ACADEMY54412,COLISEUM COLLEGE PREP ACADEMY,94621
LIGHTHOUSE COMMUNITY CHAR HS54151,LIGHTHOUSE COMMUNITY CHAR HS,94621
BERKELEY HIGH SCHOOL50290,BERKELEY HIGH SCHOOL,94704
ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,94706
REALM CHARTER HIGH SCHOOL50311,REALM CHARTER HIGH SCHOOL,94710
